id_kelurahan,nama_kelurahan,latitude,longitude,adm4,adm2,nama_kota
3501012001,Widoro,-8.1939553125,110.9106427721,35.01.01.2001,3501,Kabupaten Pacitan
3501012002,Sawahan,-8.1775758255,110.9189853745,35.01.01.2002,3501,Kabupaten Pacitan
3501012003,Kalak,-8.1958542423,110.9338460546,35.01.01.2003,3501,Kabupaten Pacitan
3501012004,Sendang,-8.2009985871,110.9485898547,35.01.01.2004,3501,Kabupaten Pacitan
3501012005,Klepu,-8.1550030707,110.9335332587,35.01.01.2005,3501,Kabupaten Pacitan
3501012006,Gedompol,-8.1370048274,110.9181285543,35.01.01.2006,3501,Kabupaten Pacitan
3501012007,Cemeng,-8.1061262557,110.9369114304,35.01.01.2007,3501,Kabupaten Pacitan
3501012008,Gendaran,-8.1087700502,110.9546656137,35.01.01.2008,3501,Kabupaten Pacitan
3501012009,Sukodono,-8.1184200608,110.9633569432,35.01.01.2009,3501,Kabupaten Pacitan
3501012010,Sekar,-8.1350535562,110.9699646538,35.01.01.2010,3501,Kabupaten Pacitan
3501012011,Donorojo,-8.0928798423,110.9999390771,35.01.01.2011,3501,Kabupaten Pacitan
3501012012,Belah,-8.0806965404,110.9664709396,35.01.01.2012,3501,Kabupaten Pacitan
3501022001,Dersono,-8.2008851388,110.9710016035,35.01.02.2001,3501,Kabupaten Pacitan
3501022002,Sugihwaras,-8.1886197308,110.9974980879,35.01.02.2002,3501,Kabupaten Pacitan
3501022003,Watukarung,-8.2263685829,110.9779822254,35.01.02.2003,3501,Kabupaten Pacitan
3501022004,Jlubang,-8.2120963472,111.0018201725,35.01.02.2004,3501,Kabupaten Pacitan
3501022005,Candi,-8.230768407,111.0168952836,35.01.02.2005,3501,Kabupaten Pacitan
3501022006,Poko,-8.2333669896,111.04242386,35.01.02.2006,3501,Kabupaten Pacitan
3501022007,Dadapan,-8.2284817166,111.0612276361,35.01.02.2007,3501,Kabupaten Pacitan
3501022008,Pringkuku,-8.1922871294,111.0342804159,35.01.02.2008,3501,Kabupaten Pacitan
3501022009,Sobo,-8.1774612784,111.0208777577,35.01.02.2009,3501,Kabupaten Pacitan
3501022010,Ngadirejan,-8.1756876847,111.0521857435,35.01.02.2010,3501,Kabupaten Pacitan
3501022011,Glinggangan,-8.1578677026,111.0700260597,35.01.02.2011,3501,Kabupaten Pacitan
3501022012,Pelem,-8.1259883562,111.0592310028,35.01.02.2012,3501,Kabupaten Pacitan
3501022013,Tamanasri,-8.1263969077,111.0898020104,35.01.02.2013,3501,Kabupaten Pacitan
3501032001,Bomo,-8.170679158,110.9707002508,35.01.03.2001,3501,Kabupaten Pacitan
